CCA,Duration of Expt(sec),Base RTT(ms),Total Bandwidth(Kbps),Sum of sq of BW,Flow Count,JFI
bbr,1800,20,1014904,2128033476,495,0.9778365666608109
bbr,1800,20,1005477,3378664149,300,0.9974198410420343
bbr,1800,20,979619,9773812125,100,0.9818619110821102
bbr,1800,100,981383,9684238713,100,0.9945155434842078
bbr,1800,100,987908,3262742212,300,0.9970776656054534
bbr,1800,100,991632,1971856660,500,0.99736866616258
bbr,1800,200,984314,1979496610,500,0.9789095325563604
bbr,1800,200,983273,3240195135,300,0.9946168386439891
bbr,1800,200,986188,9765356172,100,0.9959357899639342
bbr,1800,200,985150,9751870450,100,0.9952147410859011
bbr,1800,200,984032,3243364252,300,0.9951795952067284
bbr,1800,200,984196,1977177780,500,0.9798226302300443
bbr,1800,100,991412,1970608934,500,0.9975573913073511
bbr,1800,100,987231,3259246169,300,0.9967796200146427
reno,1800,20,1007285,10237642371,100,0.9910710244177956
reno,1800,20,1012914,3432967674,300,0.9962175284147462
reno,1800,20,1014614,2065119174,500,0.996980302112095
cubic,1800,20,1018363,2082499841,500,0.9959791394471468
cubic,1800,20,1017740,3473070522,300,0.9941200454936611
cubic,1800,20,1016003,10405556769,100,0.9920296615787941
cubic,1800,100,1017260,11753132798,90,0.9782903799970415
cubic,1800,100,1018243,3866429891,270,0.9931822802931659
cubic,1800,100,1018914,2090394126,500,0.9932918644223171
cubic,1800,200,1019858,2093327536,500,0.9937387458739281
cubic,1800,200,1018921,3479363723,300,0.994626304208131
cubic,1800,200,1019322,10440048770,100,0.995222687723134
cubic,1800,200,1020039,2094289819,500,0.9936347415543636
cubic,1800,200,1019000,3482139350,300,0.993987599414519
cubic,1800,200,1016498,10390940946,100,0.9943932790819654
cubic,1800,100,1015949,10414333155,100,0.9910882965228127
cubic,1800,100,1019080,3481814172,300,0.9942365245026447
cubic,1800,100,1019018,2089524180,500,0.9939082727666736
reno,1800,200,991194,10166885754,100,0.9663387288968646
reno,1800,200,1000753,3370771863,300,0.9903830217664699
reno,1800,200,1007376,2042094214,500,0.993887939565946
reno,1800,200,1006855,2039743813,500,0.9940042318687009
reno,1800,200,999170,3369905664,300,0.9875060693489293
reno,1800,200,993970,10294689070,100,0.9596951925231871
reno,1800,100,998305,10137327091,100,0.9831120808065874
reno,1800,100,1007119,3403002169,300,0.9935233947255628
