CCA,Duration of Expt(sec),Base RTT(ms),Total Bandwidth(Kbps),Sum of sq of BW,Flow Count,JFI
reno,10800,20ms,9891590,98063804558,1000,0.997754
reno,10800,20ms,9890273,98831608487,1000,0.989739
reno,10800,20ms,9890950,98226328146,1000,0.995974
reno,10800,20ms,9902470,32990086488,3000,0.990792
reno,10800,20ms,9902434,33023805662,3000,0.989773
reno,10800,20ms,9532102,30309918202,3000,0.999244
reno,10800,20ms,9511164,18870705590,5000,0.958758
reno,10800,20ms,9509960,18877668792,5000,0.958162
reno,10800,20ms,9511010,18868994742,5000,0.958814
reno,10800,100ms,9890731,98930104527,1000,0.988845
reno,10800,100ms,9890750,98736220878,1000,0.990791
reno,10800,100ms,9890477,98640668985,1000,0.991696
reno,10800,100ms,9899658,32775391382,3000,0.996716
reno,10800,100ms,9901997,32948886463,3000,0.991936
reno,10800,100ms,9901789,33061410735,3000,0.988518
reno,10800,100ms,9504648,18921888264,5000,0.954855
reno,10800,100ms,9503838,18908476224,5000,0.95537
reno,10800,100ms,9506781,18942200055,5000,0.95426
reno,10800,200ms,9888173,99337705331,1000,0.984278
reno,10800,200ms,9888582,1.02E+11,1000,0.98588
reno,10800,200ms,9888100,99654167184,1000,0.991049
reno,10800,200ms,9896597,33022031789,3000,0.988659
reno,10800,200ms,9896949,32909474329,3000,0.992111
reno,10800,200ms,9896512,33062404874,3000,0.987435
reno,10800,200ms,9502902,18846282948,5000,0.958334
reno,10800,200ms,9506814,18926414492,5000,0.955062
reno,10800,200ms,9504270,18935079468,5000,0.954114
cubic,10800,20ms,9891815,98086859185,1000,0.997565
cubic,10800,20ms,9891905,98216645701,1000,0.996265
cubic,10800,20ms,9891357,99130241367,1000,0.996943
cubic,10800,20ms,9902851,32754659281,3000,0.99799
cubic,10800,20ms,9404648,29520515434,3000,0.998711
cubic,10800,20ms,9542021,30399806229,3000,0.998363
cubic,10800,20ms,9034218,17198358936,5000,0.958714
cubic,10800,20ms,9511513,18907056443,5000,0.956985
cubic,10800,20ms,9515408,19014770638,5000,0.952344
cubic,10800,100ms,9891752,98112027240,1000,0.997296
cubic,10800,100ms,9891399,98165613521,1000,0.996681
cubic,10800,100ms,9891436,98099058330,1000,0.997364
cubic,10800,100ms,9901486,32793861010,3000,0.996522
cubic,10800,100ms,9900957,32784164335,3000,0.99671
cubic,10800,100ms,9900972,32765319298,3000,0.997287
cubic,10800,100ms,9506258,18874337976,5000,0.957585
cubic,10800,100ms,9505502,18854557770,5000,0.958437
cubic,10800,100ms,9505501,18867936237,5000,0.957758
cubic,10800,200ms,9885329,97815643323,1000,0.999019
cubic,10800,200ms,9886593,97838540973,1000,0.999041
cubic,10800,200ms,9889516,97973375196,1000,0.998256
cubic,10800,200ms,9456879,29872930865,3000,0.997922
cubic,10800,200ms,9402414,29528186304,3000,0.997977
cubic,10800,200ms,9895637,32688558127,3000,0.998552
cubic,10800,200ms,9504618,18847211372,5000,0.958633
cubic,10800,200ms,9505238,19041035110,5000,0.958584
cubic,10800,200ms,9506075,18874365063,5000,0.957547
bbr,10800,20ms,9733144,94882054228,1000,0.998441
bbr,10800,20ms,9742862,97167535362,1000,0.976904
bbr,10800,20ms,9734022,95010286410,1000,0.997273
bbr,10800,20ms,9839576,32300498060,3000,0.999131
bbr,10800,20ms,9840551,32305671063,3000,0.999169
bbr,10800,20ms,9836562,32936446578,3000,0.999223
bbr,10800,20ms,9513978,18867707874,5000,0.959478
bbr,10800,20ms,9510720,18849393350,5000,0.959753
bbr,10800,20ms,9512052,19452319484,5000,0.959037
bbr,10800,100ms,9649117,94117656295,1000,0.999238
bbr,10800,100ms,9650776,93410201678,1000,0.99708
bbr,10800,100ms,9650707,93396834181,1000,0.997209
bbr,10800,100ms,9681004,31289553760,3000,0.998436
bbr,10800,100ms,9683979,31298961459,3000,0.998749
bbr,10800,100ms,9680984,31290714480,3000,0.998395
bbr,10800,100ms,8925863,16599778337,5000,0.959905
bbr,10800,100ms,9321893,18117509739,5000,0.959267
bbr,10800,100ms,9321547,18123146067,5000,0.958898
bbr,10800,200ms,9145166,86402654450,1000,0.967957
bbr,10800,200ms,9143272,87776084876,1000,0.952417
bbr,10800,200ms,9196755,85722614865,1000,0.996641
bbr,10800,200ms,9218296,29540834042,3000,0.958865
bbr,10800,200ms,9602830,30802620592,3000,0.997906
bbr,10800,200ms,9601081,30764070303,3000,0.998792
bbr,10800,200ms,9266625,17918113953,5000,0.958475
bbr,10800,200ms,9267798,17921611462,5000,0.958531
bbr,10800,200ms,8811161,16176267327,5000,0.959882
reno,10800,20ms,95.75,917.8991,10,0.998809401
reno,10800,20ms,95.77,917.9399,10,0.99918229
reno,10800,20ms,95.82,921.4714,10,0.99639255
reno,10800,20ms,95.78,306.9022,30,0.99638782
reno,10800,20ms,95.8,307.0168,30,0.9964319
reno,10800,20ms,96.79,306.6527,30,0.99740674
reno,10800,20ms,95.83,184.9269,50,0.99319124
reno,10800,20ms,95.77,184.5747,50,0.99384075
reno,10800,20ms,95.82,184.8276,50,0.99351746
reno,10800,100ms,95.74,925.4576,10,0.9904449
reno,10800,100ms,95.79,921.7393,10,0.99547932
reno,10800,100ms,95.71,934.3263,10,0.9804288
reno,10800,100ms,95.78,318.5784,30,0.95986926
reno,10800,100ms,95.8,319.3138,30,0.9580586
reno,10800,100ms,95.83,320.5017,30,0.95510558
reno,10800,100ms,95.78,190.1198,50,0.96505555
reno,10800,100ms,95.82,191.6926,50,0.95793707
reno,10800,100ms,95.91,191.0103,50,0.96316566
reno,10800,200ms,95.74,918.807,10,0.99761404
reno,10800,200ms,95.71,918.0067,10,0.99785809
reno,10800,200ms,95.78,920.0266,10,0.99712426
reno,10800,200ms,95.87,308.2591,30,0.99386705
reno,10800,200ms,95.77,308.6611,30,0.99050306
reno,10800,200ms,95.85,308.0351,30,0.99417485
reno,10800,200ms,95.88,187.6206,50,0.97995263
reno,10800,200ms,95.82,186.2372,50,0.98599768
reno,10800,200ms,95.89,186.5979,50,0.98553007
cubic,10800,20ms,95.82,920.0104,10,0.997974849
cubic,10800,20ms,95.84,920.869,10,0.997460616
cubic,10800,20ms,95.78,919.7884,10,0.997382485
cubic,10800,20ms,95.81,309.8013,30,0.987682115
cubic,10800,20ms,95.78,308.5896,30,0.990939466
cubic,10800,20ms,95.76,308.7306,30,0.990073287
cubic,10800,20ms,95.78,185.7774,50,0.98761296
cubic,10800,20ms,95.78,185.813,50,0.987423743
cubic,10800,20ms,95.81,185.2843,50,0.99086173
cubic,10800,100ms,95.68,925.9408,10,0.988687657
cubic,10800,100ms,95.78,928.3804,10,0.988151883
cubic,10800,100ms,95.86,929.7858,10,0.988307156
cubic,10800,100ms,95.78,320.4952,30,0.954128528
cubic,10800,100ms,95.84,319.1974,30,0.959208481
cubic,10800,100ms,95.83,315.0447,30,0.971649304
cubic,10800,100ms,95.86,191.397,50,0.960217725
cubic,10800,100ms,95.91,192.0055,50,0.958173396
cubic,10800,100ms,95.87,191.8383,50,0.958208752
cubic,10800,200ms,95.76,917.1224,10,0.999864097
cubic,10800,200ms,95.76,917.4902,10,0.999463275
cubic,10800,200ms,95.8,918.014,10,0.999727673
cubic,10800,200ms,95.81,315.4405,30,0.970025102
cubic,10800,200ms,95.79,313.2237,30,0.976482527
cubic,10800,200ms,95.78,314.2976,30,0.972942884
cubic,10800,200ms,95.83,189.7343,50,0.968026224
cubic,10800,200ms,95.85,189.6901,50,0.968655982
cubic,10800,200ms,95.87,190.2087,50,0.96641814
bbr,10800,20ms,94.28,888.878,10,0.99999307
bbr,10800,20ms,94.2,887.3676,10,0.999995943
bbr,10800,20ms,94.24,888.1212,10,0.999996127
bbr,10800,20ms,95.3,302.739,30,0.999991192
bbr,10800,20ms,95.24,302.357,30,0.999994223
bbr,10800,20ms,95.25,302.4215,30,0.999990907
bbr,10800,20ms,95.785,183.497499,50,0.999988
bbr,10800,20ms,95.94,184.1032,50,0.999926519
bbr,10800,20ms,95.81,183.5937,50,0.999985958
bbr,10800,100ms,93.36,871.705,10,0.999889825
bbr,10800,100ms,93.41,872.6679,10,0.999856658
bbr,10800,100ms,93.39,872.2229,10,0.999938445
bbr,10800,100ms,93.68,292.5392,30,0.999973382
