interval(sec),duration(sec),ports,sum(y_values),total_cwnd_half,total_retransmission,total_retransmission/total_cwnd_half,np.nanmean(list_ratio),reg_simple1.intercept_,reg_simple1.coef_[0],reg_simple2.intercept_,reg_simple2.coef_[0],router_dropped,router_sent,router_dropped/total_cwnd_half
0.01,1200,5000,10273023000,4033003,1961252,0.486300655,0.488258356,0,2.418693101,0,3.474916634,1185026,1183760397,0.293832164
0.01,1200,3000,10224897000,1811090,768653,0.424414579,0.425748376,0,2.490871419,0,3.839544635,507156,1179207507,0.280028049
0.01,1200,1000,10127375000,224519,107874,0.480467132,0.485526138,0,2.755513596,0,4.057855654,79731,1174675311,0.355119166
0.01,1200,50,95955000,40064,29640,0.739816294,0.739020353,0,2.345194055,0,2.81977353,11089,10469090,0.276782149
0.01,1200,30,95912000,18688,10719,0.573576627,0.570329685,0,2.305811206,0,3.124823458,4728,10464404,0.252996575
0.01,1200,10,95897000,2379,1358,0.570828079,0.566490756,0,2.387334176,0,3.267016466,945,10460430,0.397225725
,,,,,,,,,2.346113146,,,,,
,,,,,,,,,,,,,,
1,1200,5000,10268932000,601068,1951676,3.247013649,3.250317459,0,2.40908516,0,1.339943929,1153619,1183949167,1.919282011
1,1200,3000,10224546000,234173,764445,3.264445517,3.269141168,0,2.482088908,0,1.378440682,498320,1179457966,2.127999385
1,1200,1000,10138211000,30003,111963,3.731726827,3.761638247,0,2.777292661,0,1.478292019,79166,1174624826,2.638602806
1,1200,50,95943000,8967,29267,3.263856362,3.251612714,0,2.370158423,0,1.323487065,11161,10469532,1.244674919
1,1200,30,95919000,3557,10503,2.952769188,2.946375369,0,2.303784081,0,1.355722727,4919,10465043,1.382906944
1,1200,10,95907000,425,1385,3.258823529,3.260252203,0,2.46204928,0,1.385187869,955,10460036,2.247058824
