time_duration,ports,Base_RTT(ms),BW,total_data_seg_out,total_cwnd_half,total_retransmission_ss,total_retransmission_iperf,total_retransmission_ss/total_cwnd_half,total_retransmission_iperf/total_cwnd_half,C_ss,C_iperf,C_cwnd,C_router,router_dropped,router_sent,router_dropped/total_cwnd_half,mdape_ss,mdape_iperf,mdape_cwnd,mdape_router
3600,1000,20,6781446,2107030169,73850,804716,806019,10.896628300609343,10.914272173324306,4.457710117079349,4.478153244650432,1.3572141033281908,2.2392662842060367,176002,2107694838,2.383236289776574,20.397144499905085,20.368676338774925,2.4419233335921895,9.904177568983886
3000,3000,20,6799421,1760793157,413429,2271758,2275861,5.494916902297613,5.504841218201916,2.9973198953040465,2.999744103877645,1.3084186007177263,2.7000523107969587,1748999,1760388650,4.230470044433265,7.838535040290509,7.872294529161284,1.00193095376346,5.299297162642472
1800,4993,20,6795180,1056770029,646822,2851671,2851651,4.408741508483014,4.408710588075236,2.5959307825067284,2.595902112393767,1.275116568666882,2.59327873263028,2660111,1054974455,4.112585842782095,5.803909281271436,5.809748521740101,1.1146716511900874,5.4054680441385505
3600,1000,100,7085395,2201343142,49974,433675,433675,8.678012566534598,8.678012566534598,3.634468640489007,3.634468640489007,1.3385388417994986,2.2101949093099553,135079,2201780631,2.702985552487293,15.915512893343028,15.915512893343028,2.534955289636164,9.875583393394951
3000,3000,100,7240628,1875023744,334115,2094221,2094794,6.267964622959161,6.26967960133487,3.1800588273970964,3.1805141265876227,1.3150477127323323,2.860437676336964,1574213,1874407658,4.7115903206979635,9.014482807352508,8.997816808059369,1.0878083098124367,4.902747911922329
1800,5000,100,7181204,1114841091,523043,2867967,2872775,5.483233692067382,5.492426052924903,2.968138541080816,2.9712113764577324,1.3125903582032545,2.7954316098633547,2366126,1114926006,4.523769556231515,8.616397070013395,8.591823277873283,1.4013595091520403,5.601210315692998
3600,1000,200,7062670,2194512996,42075,369638,369644,8.78521687462864,8.785359477124183,3.8601678280915794,3.860219958321574,1.3865653790662753,1.9651664249804812,81413,2194755121,1.934949494949495,16.653891287088452,16.655466657500664,3.3020589981671162,15.497955925295898
3000,3000,200,6829617,1768025931,237172,1357135,1357486,5.722155229116422,5.723635167726376,2.97143562941902,2.9720723266330804,1.3199497358256196,2.4526652880307385,814476,1767939512,3.434115325586494,13.05885945304704,13.04158219270578,1.4425268059835947,6.251420960581942
1800,4973,200,6762648,1048854219,371114,2245039,2247162,6.0494591958266195,6.055179809977527,3.039706328871768,3.0411223647396026,1.319294930981455,2.7088400618673587,1566984,1055366444,4.222379107228506,13.23145384518099,13.274760173935828,1.6350324299364585,6.453098048290936
10800,10,20,96352,89855097,2752,34322,34322,12.471656976744185,12.471656976744185,5.818898609965135,5.818898609965135,1.2793742514813502,5.343063288319233,30877,89837601,11.21984011627907,4.452413188851676,4.452413188851676,0.7553407225936064,7.46586012787113
10800,30,20,96424,90046870,17670,173728,173730,9.831805319750991,9.831918505942275,4.238085709530712,4.238109188199835,1.2746915513785064,4.108124225127964,167748,89900522,9.493378607809847,3.2253608295150267,3.2248247054514123,0.30253343069094446,7.9711282309140294
10800,50,20,96408,90150849,45924,305177,305162,6.64526173678251,6.64493511018204,3.3039238126778354,3.303883084854144,1.2672574861216268,3.2714790497246717,298298,89877546,6.495470777806811,3.5523396256020785,3.5522958355299754,0.4340883502922106,8.761906183156803
3600,10,100,96274,29926627,483,15752,15752,32.612836438923395,32.612836438923395,7.200922764179458,7.200922764179458,1.2907744354041537,7.372344012495842,15750,29920898,32.608695652173914,12.168847430000344,12.168847430000344,1.5839646816816113,5.062534864691956
3600,30,100,96336,29978336,4635,65778,65778,14.1915857605178,14.1915857605178,4.787064281703896,4.787064281703896,1.2859955197635073,4.867316821984987,65775,29928710,14.190938511326861,7.241776521384527,7.241776521384527,0.9473716555945054,7.051682159226572
