CCA,Duration of Expt(sec),Base RTT(ms),Total Bandwidth(Kbps),Sum of sq of BW,Flow Count,JFI
bbr,10800,20,7478742.0,55957518452.0,1000,0.9995364957175817
bbr,10800,20,7307124.0,17807665006.0,3000,0.9994584005143431
bbr,10800,20,7228289.0,10559674585.0,4999,0.9897769702955111
bbr,10800,100,6942609.0,48359517407.0,1000,0.9966976990532191
bbr,10800,100,7237849.0,17483682363.0,3000,0.9987685862192721
bbr,10800,100,8149498.0,14105636384.0,5000,0.9416706321359262
bbr,10800,200,6985356.0,49737538262.0,1000,0.981053750382657
bbr,10800,200,7142694.0,18242847050.0,3000,0.9322024030899277
bbr,10800,200,7221698.0,12003061566.0,4997,0.8695153691546038
bbr,10800,20,94587.0,894776139.0,10,0.9998814428599777
bbr,10800,20,94953.0,300559493.0,30,0.999920971719233
bbr,10800,20,95881.0,183866017.0,50,0.9999853492230704
bbr,10800,100,94112.0,1973925568.0,10,0.4487032686330754
bbr,10800,100,93918.0,294065920.0,30,0.9998427930717031
bbr,10800,100,94209.0,177520133.0,50,0.9999244064333819
bbr,10800,200,93312.0,870829978.0,10,0.9998655953481657
bbr,10800,200,93170.0,289713954.0,30,0.9987608789231234
bbr,10800,200,93435.0,174688319.0,50,0.9995057797768379
bbr,10800,20,943974.0,8912203908.0,100,0.999850229948307
bbr,10800,20,953074.0,3035826234.0,300,0.9973671959029963
bbr,10800,20,964509.0,1860834787.0,500,0.999849763751219
bbr,10800,100,934318.0,8732577510.0,100,0.9996477261431144
bbr,10800,100,942259.0,7295616697.0,300,0.405655459506295
bbr,10800,100,946491.0,3351266055.0,500,0.5346309116487022
bbr,10800,200,937309.0,8798763969.0,100,0.9984904295379673
bbr,10800,200,928833.0,2887189499.0,300,0.9960444718388053
bbr,10800,200,934374.0,1758120500.0,500,0.993168297481316
cubic,3600,20,9572491,93603560949,1000,0.978943
cubic,3600,20,9599981,31439514049,3000,0.97711
cubic,3600,20,9209223,17993437147,5000,0.942675
cubic,3600,100,9570066,93425300618,1000,0.980314
cubic,3600,100,9585547,31413326531,3000,0.984835
cubic,3600,100,9205433,17952350685,5000,0.944055
cubic,10800,200,7230747,53473535095,1000,0.9777491255276621
cubic,10800,200,7073765,16933384269,3000,0.985986000968049
cubic,10800,200,7373113,11288341395,5000,0.9631671014990418
cubic,10800,20,96411.0,933357653.0,10,0.9958755779334677
cubic,10800,20,95885.0,310459743.0,30,0.987131013740913
cubic,10800,20,90923.0,185563141.0,45,0.9900184420544786
cubic,10800,100,95848.0,920630078.0,10,0.9978860482114293
cubic,10800,100,95873.0,308102351.0,30,0.9944349228069777
cubic,10800,100,95963.0,185950283.0,50,0.990468766213171
cubic,10800,200,95841.0,918965757.0,10,0.9995472857428789
cubic,10800,200,95878.0,308766692.0,30,0.992398804898727
cubic,10800,200,95951.0,186209489.0,50,0.9888426685924689
cubic,10800,20,959626.0,9493694976.0,100,0.969993308405193
cubic,10800,20,962547.0,3111301559.0,300,0.9926143015923581
cubic,10800,20,964855.0,1872125477.0,500,0.9945328798332463
cubic,10800,100,959185.0,9340788329.0,100,0.9849659705579653
cubic,10800,100,962416.0,3102386042.0,300,0.9951958960152301
cubic,10800,100,964974.0,1867960708.0,500,0.9969961538141733
cubic,10800,200,958952.0,9391799376.0,100,0.9791403132544939
cubic,10800,200,955497.0,3061617163.0,300,0.9940003037636486
cubic,10800,200,964757.0,1866246467.0,500,0.9974631813183762
reno,3600,20,6781446,49016713480,1000,0.9382107976227377
reno,3000,20,6799421,15523736005,3000,0.9927190619652858
reno,1800,20,6795180,9315667298,4993,0.9927191395273756
reno,3600,100,7085395,51302319955,1000,0.9785682665045279
reno,3000,100,7240628,17579881818,3000,0.9940661030819982
reno,1800,100,7181204,10400508502,5000,0.9916763373579135
reno,3600,200,7062670,52964760796,1000,0.9417829284837841
reno,3000,200,6829617,15682495721,3000,0.991416782900393
reno,1800,200,6762648,9282148958,4973,0.9907556840479784
reno,10800,20,96352,1013461870,10,0.9160391899105192
reno,10800,20,96424,323974716,30,0.9566166037887146
reno,10800,20,96408,189740990,50,0.9797042235312464
reno,3600,100,96274,929436182,10,0.9972371697490038
reno,3600,100,96336,312172120,30,0.9909730670375049
reno,3600,100,96384,187304392,50,0.9919548983133295
reno,3600,200,96184,934654870,10,0.9898158296655535
reno,3600,200,96435,314060739,30,0.9870393494170565
reno,3600,200,96688,189285724,50,0.9877733139557846
reno,10800,20,963885,9637380011,100,0.9640320213217335
reno,10800,20,965076,3158993110,300,0.9827727309984541
reno,10800,20,967284,1876487918,500,0.9972228733060247
reno,3600,100,974091,9731390529,100,0.9750438783166422
reno,3600,100,970206,3148450876,300,0.9965744207850871
reno,3600,100,977022,1914534860,500,0.997184233546941
reno,3600,200,963160,10189547776,100,0.9104203699648074
reno,3600,200,973255,3207905777,300,0.9842613435598215
reno,3600,200,976472,1936510148,500,0.9847586574940066

















