CCA,Duration of Expt(sec),Base RTT(ms),Total Bandwidth(Kbps),Sum of sq of BW,Flow Count,JFI
reno,1800,20,992097,9885260511,100,0.995680849
reno,1800,20,993551,3303824029,300,0.995960621
reno,900,20,1034685,2164414457,500,0.989249583
reno,900,20,1024010,10711150442,100,0.978976522
reno,1800,100,968829,1886873175,500,0.994904844
reno,1800,100,954067,9272918385,99,0.991530589
reno,1800,200,947817,9585110383,100,0.937242274
reno,1800,100,967002,3134169542,300,0.994514236
reno,1800,200,941704,3122867675,300,0.94657274
reno,1800,200,956467,1860712861,500,0.983310366
bbr,1800,200,940170,1798930252,500,0.982716954
bbr,1800,200,909255,2853365869,291,0.995682662
